rank,lemma,zipf_freq,evidence,in_workbook
475,count,4.830,verbnet+brown+wn-primary,yes
476,mention,4.730,verbnet+brown+wn-primary,yes
477,mouth,4.830,brown,no
478,realize,4.830,verbnet+brown+wn-primary,yes
479,remain,4.830,verbnet+brown+wn-primary,yes
480,scale,4.830,verbnet+brown+wn-primary,yes
481,score,4.830,verbnet+brown+wn-primary,yes
482,separate,4.830,verbnet+brown+wn-primary,yes
483,smart,4.830,verbnet,yes
484,surface,4.830,wn-primary,no
485,throw,4.830,verbnet+brown+wn-primary,yes
486,twitter,4.830,verbnet+wn-primary,yes
487,wed,3.660,verbnet+brown+wn-primary,no
488,arm,4.730,verbnet+brown,yes
489,budget,4.820,brown+wn-primary,no
490,click,4.820,verbnet+brown+wn-primary,yes
491,fail,4.610,verbnet+brown+wn-primary,no
492,fashion,4.820,verbnet+brown,yes
493,fund,4.820,wn-primary,no
494,pull,4.820,verbnet+brown+wn-primary,yes
495,push,4.820,verbnet+brown+wn-primary,yes
496,rise,4.810,verbnet+brown+wn-primary,yes
497,seat,4.820,verbnet+brown+wn-primary,yes
498,target,4.820,verbnet,yes
499,apply,4.810,verbnet+brown+wn-primary,yes
500,draw,4.810,verbnet+brown+wn-primary,yes
501,enter,4.810,verbnet+brown+wn-primary,yes
502,gain,4.810,verbnet+brown+wn-primary,yes
503,ring,4.810,verbnet+brown+wn-primary,yes
504,silver,4.810,verbnet,yes
505,spread,4.810,verbnet+brown+wn-primary,yes
506,supply,4.810,verbnet+brown+wn-primary,yes
507,waste,4.810,verbnet+brown+wn-primary,yes
508,chairman,4.800,wn-primary,no
509,engineer,4.500,brown+wn-primary,no
510,grade,4.800,verbnet+brown+wn-primary,yes
511,institute,4.800,verbnet+brown+wn-primary,no
512,stone,4.800,verbnet,yes
513,arrive,4.380,verbnet+brown+wn-primary,yes
514,bag,4.790,verbnet+wn-primary,yes
515,bet,4.790,verbnet+brown+wn-primary,yes
516,camp,4.790,verbnet+brown,yes
517,cast,4.790,verbnet+brown+wn-primary,yes
518,correct,4.790,verbnet+brown+wn-primary,yes
519,firm,4.790,verbnet,yes
520,handle,4.790,verbnet+brown+wn-primary,yes
521,improve,4.790,verbnet+brown+wn-primary,yes
522,prevent,4.790,verbnet+brown+wn-primary,no
523,remove,4.710,verbnet+brown+wn-primary,yes
524,spirit,4.790,brown,no
525,trouble,4.790,verbnet+brown+wn-primary,yes
526,function,4.780,verbnet+brown+wn-primary,yes
527,gift,4.780,verbnet+wn-primary,yes
528,influence,4.780,verbnet+brown+wn-primary,yes
529,progress,4.780,verbnet+brown+wn-primary,yes
530,shut,4.780,verbnet+brown+wn-primary,yes
531,birth,4.770,verbnet,yes
532,bridge,4.770,verbnet+brown,yes
533,copy,4.770,verbnet+brown+wn-primary,yes
534,garden,4.770,brown,no
535,host,4.770,verbnet,yes
536,labor,4.770,verbnet+brown+wn-primary,no
537,prove,4.770,verbnet+brown+wn-primary,yes
538,balance,4.760,verbnet+brown,yes
539,bitch,4.760,verbnet+wn-primary,yes
540,boss,4.760,verbnet,yes
541,dress,4.760,verbnet+brown+wn-primary,yes
542,manage,4.540,verbnet+brown+wn-primary,yes
543,map,4.760,brown+wn-primary,no
544,net,4.760,verbnet+wn-primary,yes
545,request,4.760,verbnet+brown+wn-primary,yes
546,stick,4.760,verbnet+brown+wn-primary,yes
547,wake,4.760,verbnet+brown+wn-primary,yes
548,aid,4.750,verbnet+brown+wn-primary,no
549,concern,4.660,verbnet+brown,yes
550,exist,4.730,verbnet+brown+wn-primary,yes
551,farm,4.750,verbnet+brown+wn-primary,yes
552,file,4.750,verbnet+brown+wn-primary,yes
553,fix,4.750,verbnet+brown+wn-primary,yes
554,fly,4.750,verbnet+brown+wn-primary,yes
555,frank,4.750,wn-primary,no
556,guide,4.750,verbnet+brown+wn-primary,yes
557,operate,4.500,verbnet+brown+wn-primary,no
558,roll,4.750,verbnet+brown+wn-primary,yes
559,suggest,4.750,verbnet+brown+wn-primary,yes
560,surprise,4.750,verbnet+brown+wn-primary,yes
561,treat,4.750,verbnet+brown+wn-primary,yes
562,appreciate,4.740,verbnet+brown+wn-primary,yes
563,discover,4.390,verbnet+brown+wn-primary,yes
564,dry,4.740,verbnet+brown,yes
565,edge,4.740,verbnet+brown+wn-primary,yes
566,excite,3.290,verbnet+brown+wn-primary,yes
567,injury,4.740,verbnet,yes
568,iron,4.740,verbnet+brown,yes
569,prepare,4.550,verbnet+brown+wn-primary,yes
570,wine,4.740,wn-primary,no
571,bay,4.730,verbnet+brown,yes
572,blog,4.730,wn-primary,no
573,core,4.730,verbnet,yes
574,guard,4.730,verbnet+brown,yes
575,port,4.730,verbnet+wn-primary,yes
576,reduce,4.730,verbnet+brown+wn-primary,no
577,stress,4.730,verbnet+brown+wn-primary,yes
578,taste,4.730,verbnet+brown+wn-primary,yes
579,clothe,2.750,verbnet+brown+wn-primary,yes
580,fuel,4.720,verbnet+wn-primary,yes
581,harry,4.720,verbnet+wn-primary,yes
582,initial,4.720,verbnet+wn-primary,yes
583,introduce,4.370,verbnet+brown+wn-primary,no
584,kick,4.720,verbnet+brown+wn-primary,yes
585,mail,4.720,verbnet+brown,yes
586,pair,4.720,verbnet+brown+wn-primary,yes
587,plane,4.720,wn-primary,no
588,quarter,4.720,verbnet,yes
589,shape,4.720,verbnet+brown,yes
590,sky,4.720,wn-primary,no
591,teach,4.670,verbnet+brown+wn-primary,yes
592,transfer,4.720,verbnet+brown+wn-primary,yes
593,zone,4.720,brown+wn-primary,no
594,advance,4.650,verbnet+brown+wn-primary,yes
595,boat,4.710,verbnet+brown+wn-primary,yes
596,joint,4.710,wn-primary,no
597,mix,4.710,verbnet+brown+wn-primary,yes
598,promise,4.710,verbnet+brown+wn-primary,yes
599,propose,3.990,verbnet+brown+wn-primary,yes
600,purchase,4.710,verbnet+brown,yes
601,rain,4.710,verbnet+brown,yes
602,steel,4.710,wn-primary,no
603,tire,4.020,verbnet+brown+wn-primary,yes
604,warm,4.710,verbnet+brown,yes
605,border,4.700,verbnet+brown+wn-primary,yes
